Job Title,NOC Code,# of working individuals,Prospect
Financial managers,10010,19270.0,Moderate
Human resources managers,10011,9030.0,Good
Purchasing managers,10012,3080.0,Good
Other administrative services managers,10019,,Undetermined
"Insurance, real estate and financial brokerage managers",10020,11400.0,Good
"Banking, credit and other investment managers",10021,24560.0,Moderate
"Advertising, marketing and public relations managers",10022,16070.0,Moderate
Other business services managers,10029,,Undetermined
Telecommunication carriers managers,10030,3180.0,Moderate
Engineering managers,20010,8660.0,Very good
Architecture and science managers,20011,2630.0,Good
Computer and information systems managers,20012,31840.0,Good
Managers in health care,30010,6190.0,Good
Government managers - health and social policy development and program administration,40010,,Undetermined
"Government managers - economic analysis, policy development and program administration",40011,,Undetermined
Government managers - education policy development and program administration,40012,,Undetermined
Other managers in public administration,40019,,Undetermined
Administrators - post-secondary education and vocational training,40020,3510.0,Very good
School principals and administrators of elementary and secondary education,40021,5430.0,Very good
"Managers in social, community and correctional services",40030,6120.0,Very good
Commissioned police officers and related occupations in public protection services,40040,,Undetermined
Fire chiefs and senior firefighting officers,40041,,Undetermined
Commissioned officers of the Canadian Armed Forces,40042,,Undetermined
"Library, archive, museum and art gallery managers",50010,,Undetermined
"Managers - publishing, motion pictures, broadcasting and performing arts",50011,,Undetermined
"Recreation, sports and fitness program and service directors",50012,,Undetermined
Corporate sales managers,60010,5460.0,Moderate
Retail and wholesale trade managers,60020,68700.0,Moderate
Restaurant and food service managers,60030,21740.0,Very good
Accommodation service managers,60031,7810.0,Very good
Managers in customer and personal services,60040,3660.0,Moderate
Construction managers,70010,14560.0,Good
Home building and renovation managers,70011,31670.0,Good
Facility operation and maintenance managers,70012,6640.0,Moderate
Managers in transportation,70020,5650.0,Good
Postal and courier services managers,70021,,Undetermined
Managers in natural resources production and fishing,80010,,Undetermined
Managers in agriculture,80020,2000.0,Good
Managers in horticulture,80021,190.0,Moderate
Managers in aquaculture,80022,,Undetermined
Manufacturing managers,90010,19820.0,Good
Utilities managers,90011,1590.0,Very good
Financial auditors and accountants,11100,64070.0,Good
Financial and investment analysts,11101,31960.0,Moderate
Financial advisors,11102,33250.0,Moderate
"Securities agents, investment dealers and brokers",11103,11420.0,Moderate
Other financial officers,11109,11220.0,Moderate
Human resources professionals,11200,29920.0,Good
Professional occupations in business management consulting,11201,39020.0,Very good
"Professional occupations in advertising, marketing and public relations",11202,55460.0,Moderate
Physicists and astronomers,21100,460.0,Very good
Chemists,21101,5700.0,Very good
Geoscientists and oceanographers,21102,790.0,Very good
Meteorologists and climatologists,21103,,Undetermined
Other professional occupations in physical sciences,21109,,Undetermined
Biologists and related scientists,21110,4500.0,Good
Forestry professionals,21111,,Undetermined
"Agricultural representatives, consultants and specialists",21112,,Undetermined
Public and environmental health and safety professionals,21120,2810.0,Moderate
Architects,21200,6750.0,Good
Landscape architects,21201,540.0,Good
Urban and land use planners,21202,2040.0,Good
Land surveyors,21203,720.0,Good
"Mathematicians, statisticians and actuaries",21210,3730.0,Good
Data scientists,21211,5840.0,Good
Cybersecurity specialists,21220,4800.0,Good
Business systems specialists,21221,11320.0,Good
Information systems specialists,21222,75660.0,Very good
Database analysts and data administrators,21223,21940.0,Good
Computer systems developers and programmers,21230,16920.0,Moderate
Software engineers and designers,21231,37850.0,Good
Software developers and programmers,21232,41610.0,Good
Web designers,21233,3290.0,Moderate
Web developers and programmers,21234,7990.0,Moderate
Civil engineers,21300,12820.0,Good
Mechanical engineers,21301,8650.0,Moderate
Electrical and electronics engineers,21310,9660.0,Good
Computer engineers (except software engineers and designers),21311,7580.0,Moderate
Chemical engineers,21320,1640.0,Good
Industrial and manufacturing engineers,21321,6100.0,Good
Metallurgical and materials engineers,21322,390.0,Moderate
Mining engineers,21330,360.0,Good
Geological engineers,21331,450.0,Good
Petroleum engineers,21332,140.0,Good
Aerospace engineers,21390,1670.0,Good
Other professional engineers,21399,6950.0,Very good
