,Job Title,NOC Code,Low ($/hour),Median ($/hour),High ($/hour)
0,Financial managers,10010,36.06,57.69,100.0
1,Human resources managers,10011,40.0,55.38,81.73
2,Purchasing managers,10012,38.46,62.78,84.76
3,Other administrative services managers,10019,27.5,45.19,83.07
4,"Insurance, real estate and financial brokerage managers",10020,33.65,56.41,96.15
5,"Banking, credit and other investment managers",10021,35.9,53.42,88.67
6,"Advertising, marketing and public relations managers",10022,28.85,52.88,91.35
7,Other business services managers,10029,30.77,56.41,81.73
8,Telecommunication carriers managers,10030,33.65,43.71,72.12
9,Engineering managers,20010,43.08,61.54,85.0
10,Architecture and science managers,20011,40.0,60.0,92.86
11,Computer and information systems managers,20012,41.83,61.54,96.15
12,Managers in health care,30010,27.69,52.31,76.92
13,Government managers - health and social policy development and program administration,40010,38.46,60.44,82.05
14,"Government managers - economic analysis, policy development and program administration",40011,51.28,58.97,76.92
15,Government managers - education policy development and program administration,40012,28.73,46.69,64.2
16,Other managers in public administration,40019,35.9,57.69,69.23
17,Administrators - post-secondary education and vocational training,40020,34.19,50.48,71.43
18,School principals and administrators of elementary and secondary education,40021,38.46,55.0,67.31
19,"Managers in social, community and correctional services",40030,24.04,37.5,62.5
20,Commissioned police officers and related occupations in public protection services,40040,,,
21,Fire chiefs and senior firefighting officers,40041,35.91,62.09,77.85
22,Commissioned officers of the Canadian Armed Forces,40042,,,
23,"Library, archive, museum and art gallery managers",50010,31.01,53.33,67.31
24,"Managers - publishing, motion pictures, broadcasting and performing arts",50011,21.74,36.78,57.37
25,"Recreation, sports and fitness program and service directors",50012,20.83,34.07,76.92
26,Corporate sales managers,60010,21.37,57.69,96.15
27,Retail and wholesale trade managers,60020,20.0,43.27,89.74
28,Restaurant and food service managers,60030,16.55,22.0,48.08
29,Accommodation service managers,60031,25.0,38.46,62.77
30,Managers in customer and personal services,60040,17.0,35.0,56.82
31,Construction managers,70010,26.44,46.0,72.12
32,Home building and renovation managers,70011,,,
33,Facility operation and maintenance managers,70012,19.23,47.12,74.36
34,Managers in transportation,70020,27.24,50.0,82.42
35,Postal and courier services managers,70021,16.55,36.44,68.78
36,Managers in natural resources production and fishing,80010,38.09,84.84,567.03
37,Managers in agriculture,80020,,,
38,Managers in horticulture,80021,16.55,20.92,38.65
39,Managers in aquaculture,80022,,,
40,Manufacturing managers,90010,22.5,48.08,80.51
41,Utilities managers,90011,38.46,54.63,75.0
42,Financial auditors and accountants,11100,22.0,38.5,67.31
43,Financial and investment analysts,11101,24.95,37.02,53.85
44,Financial advisors,11102,22.56,35.9,71.79
45,"Securities agents, investment dealers and brokers",11103,23.59,55.38,96.15
46,Other financial officers,11109,22.0,36.92,71.79
47,Human resources professionals,11200,22.0,36.06,57.14
48,Professional occupations in business management consulting,11201,24.25,41.35,72.12
49,"Professional occupations in advertising, marketing and public relations",11202,18.46,32.31,55.29
50,Physicists and astronomers,21100,35.9,50.0,87.0
51,Chemists,21101,24.06,31.25,58.38
52,Geoscientists and oceanographers,21102,39.66,51.28,79.33
53,Meteorologists and climatologists,21103,,,
54,Other professional occupations in physical sciences,21109,32.56,61.06,72.12
55,Biologists and related scientists,21110,25.64,38.46,67.31
56,Forestry professionals,21111,,,
57,"Agricultural representatives, consultants and specialists",21112,33.65,35.58,57.69
58,Public and environmental health and safety professionals,21120,21.0,34.7,64.0
59,Architects,21200,21.37,36.06,58.97
60,Landscape architects,21201,16.55,36.08,66.19
61,Urban and land use planners,21202,23.0,43.96,61.0
62,Land surveyors,21203,24.81,31.71,45.0
63,"Mathematicians, statisticians and actuaries",21210,24.04,51.28,92.31
64,Data scientists,21211,27.48,48.38,80.32
65,Cybersecurity specialists,21220,28.85,39.38,86.54
66,Business systems specialists,21221,22.0,43.27,70.19
67,Information systems specialists,21222,25.48,41.35,65.93
68,Database analysts and data administrators,21223,25.0,42.56,61.54
69,Computer systems developers and programmers,21230,26.44,46.15,65.13
70,Software engineers and designers,21231,32.45,52.88,82.05
71,Software developers and programmers,21232,26.0,46.15,61.54
72,Web designers,21233,20.0,33.46,54.81
73,Web developers and programmers,21234,20.19,36.06,57.69
74,Civil engineers,21300,27.0,41.52,76.92
75,Mechanical engineers,21301,31.67,45.0,65.0
76,Electrical and electronics engineers,21310,31.73,43.27,72.31
77,Computer engineers (except software engineers and designers),21311,28.84,45.0,63.7
78,Chemical engineers,21320,20.0,42.0,65.64
79,Industrial and manufacturing engineers,21321,25.64,41.0,57.69
80,Metallurgical and materials engineers,21322,25.55,54.56,86.73
81,Mining engineers,21330,36.54,46.0,73.56
82,Geological engineers,21331,24.81,41.5,75.54
83,Petroleum engineers,21332,,,
84,Aerospace engineers,21390,28.85,46.63,63.42
85,Other professional engineers,21399,24.0,46.15,80.29
86,Specialists in clinical and laboratory medicine,31100,,,
87,Specialists in surgery,31101,,,
88,General practitioners and family physicians,31102,,,
89,Veterinarians,31103,16.55,50.48,90.91
90,Dentists,31110,,,
91,Optometrists,31111,,,
92,Audiologists and speech-language pathologists,31112,30.29,43.96,57.69
93,Pharmacists,31120,40.0,50.0,72.12
94,Dietitians and nutritionists,31121,23.08,38.27,51.54
95,Psychologists,31200,18.0,39.11,61.54
96,Chiropractors,31201,,,
97,Physiotherapists,31202,16.55,45.0,50.0
98,Occupational therapists,31203,36.38,45.0,50.0
99,Kinesiologists and other professional occupations in therapy and assessment,31204,20.0,24.29,38.0
100,Other professional occupations in health diagnosing and treating,31209,,,
101,Nursing coordinators and supervisors,31300,25.64,43.0,61.33
102,Registered nurses and registered psychiatric nurses,31301,25.0,38.0,48.66
103,Nurse practitioners,31302,24.04,54.01,66.67
104,"Physician assistants, midwives and allied health professionals",31303,16.55,55.0,70.19
105,Judges,41100,,,
106,Lawyers and Quebec notaries,41101,34.97,64.9,99.04
107,University professors and lecturers,41200,33.0,61.54,103.85
108,Post-secondary teaching and research assistants,41201,16.55,26.07,46.15
109,College and other vocational instructors,41210,17.25,40.0,80.62
110,Secondary school teachers,41220,33.23,48.08,60.0
111,Elementary school and kindergarten teachers,41221,25.0,43.96,56.57
